trial,records,payload_max,cutoff,threads,build_index_s,sort_records_s,rewrite_sorted_s,total_time_s
1,10000000,128,10000,2,1202.150,1781.159,12420.447,15717.483
1,10000000,128,10000,4,1135.397,734.562,11468.138,13650.143
1,10000000,128,10000,8,1133.466,488.716,6636.831,8623.195
1,10000000,128,10000,16,1385.876,421.751,79345.256,81475.627
1,10000000,128,10000,32,1385.083,418.620,6486.521,8619.684
1,10000000,128,100000,1,1135.765,1082.345,19460.173,21984.031
1,10000000,128,100000,2,1143.092,1676.073,11986.276,15185.847
1,10000000,128,100000,4,1121.225,689.995,13375.699,15516.464
1,10000000,128,100000,8,1132.231,461.163,12336.844,14244.090
1,10000000,128,100000,16,1148.971,375.267,12548.641,14385.161
1,10000000,128,100000,32,1179.677,383.138,12633.605,14534.685
1,100000000,8,1000,1,17781.565,12470.929,31838.792,62895.840
1,100000000,8,1000,2,3262.144,22829.821,31284.409,58200.059
1,100000000,8,1000,4,3267.798,9562.721,33410.522,47069.013
1,100000000,8,1000,8,3274.257,6249.501,30219.913,40574.007
1,100000000,8,1000,16,4071.395,5233.745,275933.037,286083.144
1,100000000,8,1000,32,3246.154,5113.840,159594.838,168801.445
1,100000000,8,10000,1,3334.042,12471.137,32585.046,49201.999
1,100000000,8,10000,2,3261.777,21520.173,37524.045,63162.253
1,100000000,8,10000,4,3231.318,9028.923,167509.101,180606.606
1,100000000,8,10000,8,4195.630,6129.940,54238.406,67862.744
1,100000000,8,10000,16,3911.769,4774.306,31339.240,40838.459
1,100000000,8,10000,32,3323.490,4770.338,138680.069,147605.069
1,100000000,8,100000,1,3263.521,12474.592,32118.989,48663.192
1,100000000,8,100000,2,3255.227,20468.971,34811.193,59387.777
1,100000000,8,100000,4,3247.321,8460.686,125108.469,137711.587
1,100000000,8,100000,8,4046.486,5456.226,118986.370,129967.954
1,100000000,8,100000,16,3313.461,4443.528,32289.644,40862.536
1,100000000,8,100000,32,3310.495,4346.232,164229.158,172728.263
1,100000000,32,1000,1,7823.206,12426.066,50667.999,72273.218
1,100000000,32,1000,2,4926.655,22748.075,48607.975,77701.743
1,100000000,32,1000,4,6054.062,9581.642,257103.806,274195.082
1,100000000,32,1000,8,4895.249,6458.732,195922.720,208765.928
1,100000000,32,1000,16,6260.266,5238.945,302810.046,315682.288
1,100000000,32,1000,32,4915.240,4916.124,253315.328,264518.866
1,100000000,32,10000,1,4934.358,12417.714,311544.223,330444.179
1,100000000,32,10000,2,5958.922,21766.709,229567.087,258775.139
1,100000000,32,10000,4,4922.511,9010.320,51827.167,67263.754
1,100000000,32,10000,8,4988.469,6247.535,156411.446,169108.613
1,100000000,32,10000,16,4914.349,4407.725,111505.054,122253.412
1,100000000,32,10000,32,4959.242,4446.339,112332.823,123159.926
1,100000000,32,100000,1,4939.800,12420.138,115606.743,134345.493
1,100000000,32,100000,2,4979.737,20427.564,108393.743,135379.935
1,100000000,32,100000,4,4985.884,8278.684,110730.767,125541.598
1,100000000,32,100000,8,4941.211,5388.677,29222.407,41011.490
1,100000000,32,100000,16,4969.300,3977.097,116513.506,126820.772
1,100000000,32,100000,32,4933.314,3912.189,50279.106,60580.317
1,100000000,128,1000,1,26344.708,12613.785,342145.135,385372.581
1,100000000,128,1000,2,11950.278,23092.027,634442.738,672920.733
1,100000000,128,1000,4,11421.061,9744.567,893900.098,918427.507
1,100000000,128,1000,8,12931.963,6310.038,229407.150,251961.548
1,100000000,128,1000,16,11133.574,5270.326,309027.470,328508.222
1,100000000,128,1000,32,11912.011,4812.553,334020.752,354072.696
1,100000000,128,10000,1,11602.363,12609.766,293860.415,321087.389
1,100000000,128,10000,2,11611.859,21768.283,283110.221,319843.149
1,100000000,128,10000,4,11429.236,9150.149,281918.802,305945.211
1,100000000,128,10000,8,11624.580,6310.370,272477.958,293768.669
1,100000000,128,10000,16,11296.199,4724.800,279304.410,298364.165
1,100000000,128,10000,32,11616.788,4711.424,273936.944,293336.033
1,100000000,128,100000,1,11330.139,12612.933,284596.393,311620.958
1,100000000,128,100000,2,11473.523,20683.545,298611.967,334290.988
1,100000000,128,100000,4,11275.618,8379.851,274983.396,297958.437
1,100000000,128,100000,8,11272.768,5448.101,309439.602,329503.620
1,100000000,128,100000,16,11513.891,4204.956,289018.278,307828.730
1,100000000,128,100000,32,11581.211,3967.065,277190.472,295784.722
