trial,records,payload_max,cutoff,threads,nodes,total_ranks,generate_unsorted_ms,reading_ms,reading_and_sorting_ms,writing_ms,check_if_sorted_ms,sorted
1,1000000,128,10000,8,2,2,1.074,167.472,236.934,703.747,35.577,1
1,1000000,128,10000,16,2,2,0.914,165.453,231.030,696.921,35.559,1
1,1000000,128,10000,32,2,2,0.815,164.387,227.743,701.340,33.356,1
1,10000000,8,10000,1,2,2,0.970,514.350,1650.396,2006.825,88.748,1
1,10000000,8,10000,2,2,2,0.934,511.095,1446.609,2153.590,89.603,1
1,10000000,8,10000,4,2,2,0.849,506.012,1306.096,2021.025,86.480,1
1,10000000,8,10000,8,2,2,0.934,502.675,1183.558,2089.548,102.448,1
1,10000000,8,10000,16,2,2,0.993,500.910,1119.294,2072.824,87.180,1
1,10000000,8,10000,32,2,2,0.896,454.518,1018.205,1849.406,81.609,1
1,10000000,32,10000,1,2,2,1.188,697.537,1820.691,3116.673,170.377,1
1,10000000,32,10000,2,2,2,0.846,686.024,1625.406,3051.164,169.358,1
1,10000000,32,10000,4,2,2,2.390,802.278,1609.381,6785.116,190.434,1
1,10000000,32,10000,8,2,2,1.040,695.203,1379.720,6337.700,188.821,1
1,10000000,32,10000,16,2,2,0.842,686.989,1310.726,4706.753,192.364,1
1,10000000,32,10000,32,2,2,0.834,627.120,1187.650,4615.223,149.101,1
1,10000000,128,10000,1,2,2,0.955,1379.202,2500.848,10222.025,356.144,1
1,10000000,128,10000,2,2,2,0.874,1383.966,2323.731,9912.697,336.380,1
1,10000000,128,10000,4,2,2,0.876,1380.819,2183.361,10612.677,354.223,1
1,10000000,128,10000,8,2,2,0.959,1375.075,2067.727,11125.675,358.047,1
1,10000000,128,10000,16,2,2,1.008,1388.731,2002.568,11372.980,345.693,1
1,10000000,128,10000,32,2,2,0.801,1267.590,1830.874,10590.538,317.803,1
1,100000000,8,10000,1,2,2,1.012,4706.578,17825.340,85598.856,871.537,1
1,100000000,8,10000,2,2,2,1.061,4646.457,15339.857,43049.012,842.856,1
1,100000000,8,10000,4,2,2,1.023,4808.818,13838.000,99503.868,841.282,1
1,100000000,8,10000,8,2,2,0.836,4851.644,12142.667,87562.470,826.953,1
1,100000000,8,10000,16,2,2,0.899,4805.516,11132.101,19289.385,2303.512,1
1,100000000,8,10000,32,2,2,3.292,4914.153,10549.925,27180.232,811.990,1
1,100000000,32,10000,1,2,2,0.891,6509.841,19611.379,125482.997,1538.157,1
1,100000000,32,10000,2,2,2,0.881,6743.289,17519.831,170800.805,1478.054,1
1,100000000,32,10000,4,2,2,1.010,6681.263,15542.242,140802.745,1415.463,1
1,100000000,32,10000,8,2,2,0.828,6483.460,13799.426,91562.887,1498.224,1
1,100000000,32,10000,16,2,2,0.941,6608.616,12912.909,133318.142,1432.006,1
1,100000000,32,10000,32,2,2,0.920,6045.047,11697.784,41370.863,1347.032,1
1,100000000,128,10000,1,2,2,0.868,13672.498,26759.542,279265.502,3221.457,1
1,100000000,128,10000,2,2,2,0.873,13791.319,24475.488,199016.813,3361.727,1
1,100000000,128,10000,4,2,2,0.892,15142.429,23949.221,418410.857,3223.344,1
1,100000000,128,10000,8,2,2,1.061,13881.554,21107.323,245649.763,3353.158,1
1,100000000,128,10000,16,2,2,0.868,13572.372,19872.983,282938.011,3241.167,1
1,100000000,128,10000,32,2,2,0.825,12715.411,18402.816,310024.873,3055.356,1
1,100000,8,10000,1,4,4,0.931,11.521,21.740,21.321,1.941,1
1,100000,8,10000,2,4,4,0.832,11.018,21.911,19.531,1.993,1
1,100000,8,10000,4,4,4,0.923,19.315,30.249,19.780,1.961,1
1,100000,8,10000,8,4,4,0.987,19.451,30.097,19.865,2.639,1
1,100000,8,10000,16,4,4,1.012,19.940,30.747,19.693,2.035,1
1,100000,8,10000,32,4,4,0.785,11.970,24.746,15.339,2.132,1
1,100000,32,10000,1,4,4,0.869,12.631,22.977,27.196,2.517,1
1,100000,32,10000,2,4,4,0.923,19.236,28.871,26.634,2.765,1
1,100000,32,10000,4,4,4,1.163,11.530,22.978,27.116,2.551,1
1,100000,32,10000,8,4,4,0.905,19.010,30.305,26.167,2.579,1
1,100000,32,10000,16,4,4,1.054,18.431,30.076,26.773,2.792,1
1,100000,32,10000,32,4,4,0.871,19.555,31.234,24.255,2.644,1
1,100000,128,10000,1,4,4,0.905,20.414,30.904,54.016,5.005,1
1,100000,128,10000,2,4,4,0.880,21.275,31.699,53.801,4.614,1
1,100000,128,10000,4,4,4,0.895,20.915,31.848,54.677,4.411,1
1,100000,128,10000,8,4,4,0.878,21.247,32.544,58.791,4.819,1
1,100000,128,10000,16,4,4,0.856,21.650,32.961,60.187,4.628,1
1,100000,128,10000,32,4,4,0.763,20.798,32.987,55.026,4.118,1
1,1000000,8,10000,1,4,4,1.112,54.337,140.990,198.432,31.709,1
1,1000000,8,10000,2,4,4,0.939,58.098,141.001,231.987,15.926,1
1,1000000,8,10000,4,4,4,0.818,59.832,138.671,228.483,16.177,1
1,1000000,8,10000,8,4,4,0.848,56.063,135.386,227.750,16.699,1
1,1000000,8,10000,16,4,4,0.862,62.832,137.249,208.712,10.841,1
1,1000000,8,10000,32,4,4,0.833,51.492,126.695,224.048,9.371,1
1,1000000,32,10000,1,4,4,0.837,76.496,162.056,299.187,40.786,1
1,1000000,32,10000,2,4,4,0.828,73.220,156.865,319.598,22.673,1
1,1000000,32,10000,4,4,4,0.860,72.328,151.897,314.647,16.164,1
1,1000000,32,10000,8,4,4,0.966,74.683,151.800,301.436,22.126,1
1,1000000,32,10000,16,4,4,0.969,72.073,146.825,345.263,17.724,1
1,1000000,32,10000,32,4,4,0.859,72.689,148.636,293.552,15.983,1
1,1000000,128,10000,1,4,4,1.069,150.081,237.649,707.247,40.476,1
1,1000000,128,10000,2,4,4,1.068,147.471,230.126,680.395,35.570,1
1,1000000,128,10000,4,4,4,0.821,150.824,230.888,700.562,36.780,1
1,1000000,128,10000,8,4,4,0.830,153.075,230.655,679.964,43.099,1
1,1000000,128,10000,16,4,4,0.813,144.680,222.707,651.187,40.134,1
1,1000000,128,10000,32,4,4,0.801,134.720,209.631,645.603,42.734,1
1,10000000,8,10000,1,4,4,0.903,521.853,1451.968,2123.424,85.549,1
1,10000000,8,10000,2,4,4,1.120,518.841,1366.653,2015.563,103.763,1
1,10000000,8,10000,4,4,4,0.910,526.821,1312.122,2002.638,85.324,1
1,10000000,8,10000,8,4,4,0.951,529.251,1263.766,2077.496,108.864,1
1,10000000,8,10000,16,4,4,1.056,519.628,1222.884,2068.896,85.731,1
1,10000000,8,10000,32,4,4,0.782,488.541,1159.075,1864.128,107.089,1
1,10000000,32,10000,1,4,4,0.859,707.065,1637.669,3210.793,145.530,1
1,10000000,32,10000,2,4,4,0.886,692.741,1541.213,3074.109,166.090,1
1,10000000,32,10000,4,4,4,0.988,714.977,1502.398,3190.762,166.611,1
1,10000000,32,10000,8,4,4,0.851,702.768,1440.910,3064.154,169.005,1
1,10000000,32,10000,16,4,4,0.861,716.315,1420.394,3188.052,173.076,1
1,10000000,32,10000,32,4,4,0.745,669.060,1344.910,2792.014,162.329,1
1,10000000,128,10000,1,4,4,0.792,1398.712,2332.199,6655.679,335.189,1
1,10000000,128,10000,2,4,4,0.880,1399.649,2248.780,6729.777,361.226,1
1,10000000,128,10000,4,4,4,0.846,1409.364,2193.766,6741.140,340.688,1
1,10000000,128,10000,8,4,4,0.825,1400.041,2133.928,6577.476,352.540,1
1,10000000,128,10000,16,4,4,0.852,1406.533,2109.331,6637.420,353.708,1
1,10000000,128,10000,32,4,4,0.875,1310.609,1990.425,6360.019,324.644,1
1,100000000,8,10000,1,4,4,0.890,5153.720,15308.625,20172.885,841.828,1
1,100000000,8,10000,2,4,4,0.840,5069.274,14053.251,20117.104,854.970,1
1,100000000,8,10000,4,4,4,0.864,5184.188,13383.492,19488.397,849.434,1
1,100000000,8,10000,8,4,4,1.061,5054.083,12466.525,20229.012,840.996,1
1,100000000,8,10000,16,4,4,0.916,5162.919,12173.892,20397.975,845.893,1
1,100000000,8,10000,32,4,4,0.731,4795.203,11430.182,19129.317,821.182,1
1,100000000,32,10000,1,4,4,0.825,6930.886,17057.381,118189.308,1409.140,1
1,100000000,32,10000,2,4,4,0.909,6979.393,15992.244,111649.519,1423.493,1
1,100000000,32,10000,4,4,4,0.923,6970.305,15120.196,110516.726,1420.238,1
1,100000000,32,10000,8,4,4,0.934,6941.296,14266.981,30687.610,1435.142,1
1,100000000,32,10000,16,4,4,0.880,7036.346,14056.882,113667.254,1434.621,1
1,100000000,32,10000,32,4,4,0.911,6430.073,13022.510,108855.377,1347.831,1
1,100000000,128,10000,1,4,4,0.813,13617.767,23736.356,273065.058,3235.885,1
1,100000000,128,10000,2,4,4,0.839,13797.207,22841.505,283344.757,3282.163,1
1,100000000,128,10000,4,4,4,0.974,13756.881,21847.202,80138.732,3233.649,1
1,100000000,128,10000,8,4,4,0.988,14041.790,21510.998,282688.708,3282.073,1
1,100000000,128,10000,16,4,4,0.890,13653.434,20644.229,264795.984,3280.342,1
1,100000000,128,10000,32,4,4,0.764,13723.130,20478.180,270936.253,3221.181,1
1,100000,8,10000,1,8,8,1.068,10.197,21.388,18.217,2.177,1
1,100000,8,10000,2,8,8,0.825,18.849,29.615,19.977,2.766,1
1,100000,8,10000,4,8,8,0.916,19.190,31.006,19.434,2.732,1
1,100000,8,10000,8,8,8,0.809,19.270,31.643,17.128,2.300,1
1,100000,8,10000,16,8,8,1.038,18.304,30.592,18.022,2.188,1
1,100000,8,10000,32,8,8,0.750,19.210,32.273,17.402,2.089,1
1,100000,32,10000,1,8,8,0.811,19.421,30.626,25.704,2.695,1
